deployment_id,app_id,build_version,deployed_at,strategy
dep-payment-api-001,payment-api,v1.0.1,2026-01-05T09:00:00,blue_green
dep-payment-api-002,payment-api,v2.0.4,2026-01-10T09:00:00,blue_green
dep-payment-api-003,payment-api,v3.0.3,2026-01-15T09:00:00,blue_green
dep-payment-api-004,payment-api,v4.0.1,2026-01-20T09:00:00,canary
dep-billing-worker-001,billing-worker,v1.1.8,2026-01-05T09:00:00,blue_green
dep-billing-worker-002,billing-worker,v2.1.9,2026-01-10T09:00:00,rolling
dep-billing-worker-003,billing-worker,v3.1.0,2026-01-15T09:00:00,blue_green
dep-billing-worker-004,billing-worker,v4.1.1,2026-01-20T09:00:00,blue_green
dep-auth-service-001,auth-service,v1.2.8,2026-01-05T09:00:00,canary
dep-auth-service-002,auth-service,v2.2.0,2026-01-10T09:00:00,canary
dep-auth-service-003,auth-service,v3.2.3,2026-01-15T09:00:00,canary
dep-auth-service-004,auth-service,v4.2.8,2026-01-20T09:00:00,rolling
dep-identity-portal-001,identity-portal,v1.3.7,2026-01-05T09:00:00,canary
dep-identity-portal-002,identity-portal,v2.3.4,2026-01-10T09:00:00,blue_green
dep-identity-portal-003,identity-portal,v3.3.2,2026-01-15T09:00:00,canary
dep-identity-portal-004,identity-portal,v4.3.6,2026-01-20T09:00:00,rolling
dep-risk-engine-001,risk-engine,v1.4.2,2026-01-05T09:00:00,blue_green
dep-risk-engine-002,risk-engine,v2.4.5,2026-01-10T09:00:00,blue_green
dep-risk-engine-003,risk-engine,v3.4.1,2026-01-15T09:00:00,rolling
dep-risk-engine-004,risk-engine,v4.4.1,2026-01-20T09:00:00,rolling
dep-fraud-detector-001,fraud-detector,v1.5.9,2026-01-05T09:00:00,rolling
dep-fraud-detector-002,fraud-detector,v2.5.0,2026-01-10T09:00:00,canary
dep-fraud-detector-003,fraud-detector,v3.5.7,2026-01-15T09:00:00,canary
dep-fraud-detector-004,fraud-detector,v4.5.1,2026-01-20T09:00:00,rolling
dep-mobile-backend-001,mobile-backend,v1.6.8,2026-01-05T09:00:00,rolling
dep-mobile-backend-002,mobile-backend,v2.6.9,2026-01-10T09:00:00,rolling
dep-mobile-backend-003,mobile-backend,v3.6.9,2026-01-15T09:00:00,blue_green
dep-mobile-backend-004,mobile-backend,v4.6.1,2026-01-20T09:00:00,blue_green
dep-notification-api-001,notification-api,v1.0.3,2026-01-05T09:00:00,rolling
dep-notification-api-002,notification-api,v2.0.1,2026-01-10T09:00:00,blue_green
dep-notification-api-003,notification-api,v3.0.1,2026-01-15T09:00:00,rolling
dep-notification-api-004,notification-api,v4.0.4,2026-01-20T09:00:00,rolling
dep-ticketing-api-001,ticketing-api,v1.1.5,2026-01-05T09:00:00,blue_green
dep-ticketing-api-002,ticketing-api,v2.1.5,2026-01-10T09:00:00,rolling
dep-ticketing-api-003,ticketing-api,v3.1.3,2026-01-15T09:00:00,canary
dep-ticketing-api-004,ticketing-api,v4.1.4,2026-01-20T09:00:00,canary
dep-crm-sync-001,crm-sync,v1.2.1,2026-01-05T09:00:00,canary
dep-crm-sync-002,crm-sync,v2.2.2,2026-01-10T09:00:00,canary
dep-crm-sync-003,crm-sync,v3.2.3,2026-01-15T09:00:00,blue_green
dep-crm-sync-004,crm-sync,v4.2.7,2026-01-20T09:00:00,rolling
dep-datalake-ingest-001,datalake-ingest,v1.3.8,2026-01-05T09:00:00,blue_green
dep-datalake-ingest-002,datalake-ingest,v2.3.5,2026-01-10T09:00:00,blue_green
dep-datalake-ingest-003,datalake-ingest,v3.3.3,2026-01-15T09:00:00,blue_green
dep-datalake-ingest-004,datalake-ingest,v4.3.5,2026-01-20T09:00:00,rolling
dep-metrics-api-001,metrics-api,v1.4.1,2026-01-05T09:00:00,blue_green
dep-metrics-api-002,metrics-api,v2.4.9,2026-01-10T09:00:00,canary
dep-metrics-api-003,metrics-api,v3.4.5,2026-01-15T09:00:00,blue_green
dep-metrics-api-004,metrics-api,v4.4.7,2026-01-20T09:00:00,rolling
